Studbook number:,Tail:,Wings:,Chest/body:,Neck:,Legs:,Back:,Head:,Assessment Score:,Total Score:
AL035,1,1,2,2,2,2,2,12,24
AL035,1,1,2,2,2,2,2,12,
AL075,1,2,2,2,2,2,2,13,21
AL075,1,1,1,1,2,1,1,8,
AL091,1,2,2,2,1,2,2,12,23
AL091,1,1,2,2,1,2,2,11,
AL100,2,1,1,1,2,1,1,9,18
AL100,2,1,1,0,2,2,1,9,
AL109,1,1,2,2,2,2,1,11,22
AL109,1,1,2,2,2,2,1,11,
AL114,1,2,1,1,2,2,2,11,23
AL114,2,2,1,1,2,2,2,12,
AL116,2,2,2,2,2,2,2,14,24
AL116,2,2,1,2,0,1,2,10,
AL118,1,2,1,1,1,2,2,10,18
AL118,1,1,1,1,1,1,2,8,
AL122,2,2,1,1,1,2,2,11,21
AL122,2,1,1,1,1,2,2,10,
AL124,2,2,2,2,2,2,2,14,26
AL124,2,2,1,2,2,1,2,12,
AL147,1,2,2,2,2,2,2,13,27
AL147,2,2,2,2,2,2,2,14,
AL149,1,2,1,1,1,2,2,10,19
AL149,1,1,1,1,1,2,2,9,
AL153,0,1,2,1,2,1,1,8,16
AL153,0,1,1,2,1,2,1,8,
AL154,2,2,2,2,2,2,2,14,26
AL154,2,1,2,2,2,1,2,12,
AL155,2,2,1,1,2,2,1,11,18
AL155,1,1,1,1,1,1,1,7,
AL156,2,2,1,2,2,2,2,13,25
AL156,1,1,2,2,2,2,2,12,
AL159,1,2,1,1,1,2,1,9,16
AL159,1,1,1,1,1,1,1,7,
AL160,2,2,2,2,2,2,2,14,25
AL160,1,1,2,1,2,2,2,11,
AL161,2,2,2,2,2,2,1,13,25
AL161,2,1,1,2,2,2,2,12,
AL162,2,2,2,2,2,2,2,14,25
AL162,1,1,1,2,2,2,2,11,
AL163,2,2,2,2,1,2,2,13,23
AL163,1,1,1,2,2,1,2,10,
AL164,2,2,2,2,2,2,2,14,25
AL164,1,1,1,2,2,2,2,11,
AL167,2,2,2,2,2,2,1,13,24
AL167,1,1,2,2,2,1,2,11,
AL173,1,2,2,1,2,1,2,11,22
AL173,1,1,2,2,2,1,2,11,
AL177,2,2,2,2,2,2,2,14,25
AL177,1,1,2,2,2,1,2,11,
AL178,2,2,1,2,2,2,2,13,22
AL178,1,1,1,2,2,1,1,9,
AL181,2,2,2,2,2,2,2,14,25
AL181,2,1,1,2,2,1,2,11,
AL184,2,1,2,2,2,2,2,13,27
AL184,2,2,2,2,2,2,2,14,
AL186,1,2,2,2,2,2,2,13,26
AL186,1,2,2,2,2,2,2,13,
AL193,2,2,2,2,2,2,2,14,26
AL193,1,1,2,2,2,2,2,12,
AL194,2,2,2,1,2,2,2,13,21
AL194,1,1,1,0,2,2,1,8,
AL195,2,2,2,2,2,2,2,14,26
AL195,1,1,2,2,2,2,2,12,
AL197,2,2,2,2,2,2,2,14,26
AL197,1,2,2,2,2,1,2,12,
AL198,2,2,2,2,2,2,2,14,28
AL198,2,2,2,2,2,2,2,14,
AL201,2,2,1,2,2,2,2,13,25
AL201,2,1,1,2,2,2,2,12,
AL204,2,2,2,2,2,2,2,14,26
AL204,1,1,2,2,2,2,2,12,
AL207,2,2,2,2,2,1,2,13,26
AL207,2,1,2,2,2,2,2,13,
AL208,2,2,2,2,1,2,1,12,23
AL208,1,1,1,2,2,2,2,11,
AL209,2,2,2,2,2,2,2,14,26
AL209,2,1,1,2,2,2,2,12,
AL213,2,2,2,1,2,2,2,13,23
AL213,1,1,2,1,1,2,2,10,
AL216,1,2,2,1,1,1,2,10,19
AL216,2,1,1,1,1,1,2,9,
AL221,2,2,1,1,2,2,2,12,24
AL221,2,2,1,1,2,2,2,12,
AL223,2,2,2,2,2,2,2,14,26
AL223,2,1,2,2,1,2,2,12,
AL225,1,2,2,2,1,2,2,12,24
AL225,1,1,2,2,2,2,2,12,
AL226,1,1,2,1,2,2,2,11,22
AL226,2,1,2,1,1,2,2,11,
AL228,2,1,2,2,2,2,2,13,26
AL228,2,2,1,2,2,2,2,13,
AL229,1,2,2,2,2,2,2,13,24
AL229,1,1,2,2,2,1,2,11,
AL231,2,2,2,2,2,2,2,14,25
AL231,1,1,2,2,2,1,2,11,
AL234,2,1,1,2,2,1,2,11,21
AL234,2,1,1,2,2,1,1,10,
AL238,1,2,2,2,2,2,2,13,23
AL238,1,1,1,2,2,2,1,10,
AL249,1,2,1,1,2,1,1,9,17
AL249,1,1,1,1,2,1,1,8,
AL257,2,2,1,1,2,1,2,11,21
AL257,1,1,1,1,2,2,2,10,
